"store_id","store_name","account_type","banner_id","banner_name","account_id","account_name","street","postalcode","province","region","city","location_type","latitude","longitude"
2451,"10 Seventeen - Belle River",Independent,767,"10 Seventeen",543,"10 Seventeen","571 Notre Dame St",N0R 1A0,Ontario,West,Belle River,Rural,42.29342,-82.70938
145,"1922 Cannabis",Independent,933,"1922",788,"1922","120 Sherbourne St",M5A 2R4,Ontario,Toronto,Toronto,Urban,43.65396,-79.36948
3751,"1 Stop Cannabis",Independent,893,"1 Stop Cannabis",242,"1 Stop Cannabis","36 Norfolk St S",N3Y 2V9,Ontario,West,Simcoe,Urban,42.836456,-80.30403
4973,"228 CANNABIS STORE",Independent,2163,"228 CANNABIS STORE",1715,"228 CANNABIS STORE","12 Chase McEachern Way",L4M 1A1,Ontario,GTA,Barrie,Urban,44.388897,-79.68964
146,"41 Cannabis Co.",Independent,757,"41 Cannabis Co.",1514,"41 Cannabis Co.","12278 Hwy 41",K0H 2G0,Ontario,East,Northbrook,Rural,44.734528,-77.15982
2331,"4k Cannabis - Ajax",Independent,2254,"4k Cannabis - Ajax",863,"4k Cannabis - Ajax","75 Bayly Street West",L1S 7L7,Ontario,GTA,Ajax,Urban,43.843353,-79.02064
5035,"6420 Cannabis",Independent,2179,"6420",811,"6420","64 Erie Ave #6420",N3S 2E8,Ontario,West,Brantford,Urban,43.132668,-80.259735
5315,"6ix Cannabis - Flowertown Brampton",Independent,1459,"6ix Cannabis ",1161,"6ix Cannabis ","4 Flowertown Avenue",L6X 2J9,Ontario,GTA,Brampton,Urban,43.68219,-79.77991
3545,"6ix Cannabis - North Park Brampton",Independent,1459,"6ix Cannabis ",1161,"6ix Cannabis ","2120 North Park Dr Unit 26",L6S0C9,Ontario,GTA,Brampton,Urban,43.7503,-79.72597
3174,"710 Kingston - Midland Ave",Independent,813,"710 Kingston",1502,"710 Kingston","1057 Midland Ave",K7P2X8,Ontario,East,Kingston,Urban,44.26115,-76.57452
5166,"7th Heaven Cannabis - East York",Independent,1308,"7th Heaven Cannabis ",116,"7th Heaven Cannabis ","1064 Coxwell Ave East",M4C 3G5,Ontario,Toronto,Toronto,Urban,43.697212,-79.32959
3191,"7th Heaven Cannabis - Scarborough",Independent,1308,"7th Heaven Cannabis ",116,"7th Heaven Cannabis ","114 Markham Rd",M1M2Z7,Ontario,Toronto,Scarborough,Urban,43.740894,-79.21792
